"Status Loja","People","NOME","CENTRO DE CUSTO ","Operadora","Contrato","Circuito/Designação","Novo Circuito/Designação","Velocidade","Serviço","ID VIVO","Novo ID Vivo","Status Serviço","Observação","Custo","Multa",""
"ATIVA","DSP915 CD BA","CD BA","2009150205","VIVO LINK","449910291","714070182090894","714070182090894","100 MB","DEDICADO","1596614","1596614","ATIVO","","R$ 3,889.42","",""
"ATIVA","DSP915 CD BA","CD BA","2009150205","ITS","não informado","LFS-CEA-7994","LFS-CEA-7994","100 MB","DEDICADO","-","-","ATIVO","","","",""
"ATIVA","DSP915 CD BA","CD BA","2009150205","OI","16450023468","5175921","5175921","N/P","GERENCIAMENTO","-","-","CANCELADO","PC20240718002103/PC20250326001080","R$ 220.89","",""
"ATIVA","DSP915 CD BA","CD BA","2009150205","OI","161601621839","5079928","5079928","4 MB","DEDICADO","-","-","CANCELADO","PC20250326001098","-","",""
"ATIVA","DSP915 CD BA","CD BA","2009150205","OI","212700013615","5102261","5102261","50 MB","DEDICADO","-","-","CANCELADO","PC20240718002103/ PC20250326001100","R$ 999.62","",""
"ATIVA","DSP915 CD BA","CD BA","2009150205","TRANSIT","735813","11944","11944","30 MB","DEDICADO","-","-","Em cancelamento","Validado","R$ 5,395.81","21.847,03  ",""
"ATIVA","DSP915 CD BA","CD BA","2009150205","VIVO LINK","402551773","714070182091096","714070182091096","N/P","MONITORA DADOS","1820910","1820910","ATIVO","","R$ 50.00","",""
"ATIVA","DSP915 CD BA","CD BA","2009150205","VIVO LINK","449910291","714070181135294","714070181135294","20 MB","MPLS","1811352","1811352","ATIVO","","R$ 1,257.90","",""
"ATIVA","DPA908 CD ES","CD ES","3009080205","EMBRATEL","-","SEA/IP/05267","SEA/IP/05267","60 MB","DEDICADO","-","-","ATIVO","UPGRADE DE 20 PARA 60 MB","","",""
"ATIVA","DPA908 CD ES","CD ES","3009080205","TELIUM","272816","272816","272816","20 MB","DEDICADO","-","-","ATIVO","Validado","R$ 1,030.00","",""
"ATIVA","DPA908 CD ES","CD ES","3009080205","VIVO LINK","402551773","275600160102999","275600160102999","N/P","MONITORA DADOS","1601029","1601029","solicitar cancelamento","","R$ 50.00","",""
"ATIVA","DPA908 CD ES","CD ES","3009080205","VIVO LINK","449910291","275600160066490","275600160066490","10 MB","MPLS","1600664","1600664","solicitar cancelamento","Substituir por novo link","R$ 353.93","",""
"ATIVA","DSP917 CD GO","CD GO","2009170205","VIVO LINK","449910291","620750159786498","620750159786498","20 MB","DEDICADO","1597864","1597864","solicitar cancelamento","","R$ 2,107.02","",""
"ATIVA","DSP917 CD GO","CD GO","2009170205","TELIUM","272816","272816B","272816B","20 MB","DEDICADO","-","-","ATIVO","Validado","R$ 3,971.85","R$ 4,130.72",""
"ATIVA","DSP917 CD GO","CD GO","2009170205","VIVO LINK","449910505","620820154739495","620820154739495","N/P","MONITORA DADOS","1547394","1547394","ATIVO","","R$ 50.00","",""
"ATIVA","DSP917 CD GO","CD GO","2009170205","VIVO LINK","449910289","620820154739397","620820154739397","20 MB","MPLS","1547393","1547393","ATIVO","UPGRADE","R$ 1,976.91","",""
"ATIVA","DSP917 CD GO","CD GO ","2009170205","VIVO LINK","402551773","620750159786792","620750159786792","N/P","MONITORA DADOS","1597867","1597867","ATIVO","","R$ 50.00","",""
